worker_id,city_risk_index,rainfall_last_3day_avg,flood_zone_flag,traffic_peak_index,pollution_spike_flag,parcel_demand_index,historical_income_variance,active_hours_ratio,gps_jump_distance,claim_frequency_7day,nearby_claim_cluster_score,income_loss_hours,disruption_risk_score_feature,mobility_stability_index,logistics_volatility_feature,behavioral_trust_index,rain_traffic_interaction,flood_claim_interaction,gps_claim_anomaly,high_income_loss_risk_flag,expected_income_loss_hours_next_week
WRK-00001,0.6529,110.16,0,1.0,0,0.7541,0.5509,0.9291,0.15,3.0,0.1809,11.35,0.36016,0.9706297856100572,0.5218402640264026,0.815915,0.31474285714285716,0.0,0.000505107194971376,1,14.08405580604297
WRK-00002,0.3952,55.39,0,0.7026,1,0.713,1.0,0.7925,3.46,1.0,0.3568,2.15,0.38104,0.8936977214053206,0.7040016501650165,0.785335,0.11119146857142856,0.0,0.0038837130991132467,0,1.7723397038741737
WRK-00003,0.3552,62.32,0,0.6766,1,0.5522,0.2589,0.197,23.38,8.6,0.9616,16.62,0.38147,0.521341250420923,0.1676100660066007,0.12947,0.12047346285714286,0.0,0.22569087439667695,1,21.418215455873067
WRK-00004,0.7089,66.57,0,0.7938,0,0.5955,0.1463,0.813,3.15,0.0,0.1287,2.1,0.26502,0.9039854978112023,0.15596765676567662,0.89594,0.15098075999999996,0.0,0.0,0,3.6706983147515935
WRK-00005,0.7871,113.46,1,0.9374,0,0.0877,1.0,0.8223,0.05,6.0,0.4033,21.21,0.59781,0.9285832618700192,0.9409034653465347,0.606815,0.30387829714285713,0.6,0.00033673812998091736,1,17.567950194457897
WRK-00006,0.5342,86.41,0,0.852,0,0.0809,1.0,0.8622,1.69,2.0,0.3999,11.59,0.29940999999999995,0.933498251206645,0.9479166666666667,0.7617999999999999,0.21034662857142855,0.0,0.003793916264451669,1,16.622885715953604
WRK-00007,0.7565,89.04,1,1.0,1,0.5955,0.1925,0.5728,0.91,2.0,0.0201,17.54,0.73904,0.8229913660343473,0.1790676567656766,0.77445,0.2544,0.2,0.002042877988550899,1,22.356829225777616
WRK-00008,0.2935,58.12,0,0.7429,0,0.4538,1.0,0.7543,0.2,0.0,0.1543,3.21,0.24384499999999998,0.9003730474800763,0.5633250825082509,0.8677149999999999,0.12336385142857142,0.0,0.0,0,2.6849797361882373
WRK-00009,0.4438,36.05,0,0.6494,0,0.3331,0.8233,0.8929,5.54,0.0,0.1203,0.61,0.1984,0.9198494151981144,0.599459405940594,0.9264249999999999,0.0668882,0.0,0.0,0,1.0540590279856912
WRK-00010,0.7627,81.45,0,1.0,1,0.2586,1.0,0.0985,74.83,7.4,0.6147,27.38,0.48145000000000004,0.13543771467055912,0.7646452145214522,0.24106499999999997,0.23271428571428573,0.0,0.6215534852396437,1,27.889426977990677
WRK-00011,0.5424,107.12,1,0.9342,0,0.6678,0.1915,0.3495,5.57,5.0,0.2677,21.58,0.59067,0.7022873723201258,0.25313448844884484,0.5170149999999999,0.2859185828571429,0.5,0.03126052306656183,1,22.69318464592862
WRK-00012,0.362,6.32,0,0.4654,1,0.59,0.2327,0.7823,0.4,1.0,0.059,0.0,0.27266999999999997,0.9102260949601526,0.19349521452145213,0.871105,0.008403794285714286,0.0,0.0004489841733078899,0,0.0
WRK-00013,0.4243,53.34,0,0.6584,1,0.8521,0.6036,0.6602,0.77,0.0,0.1348,3.11,0.36794,0.8588942327982938,0.6492628712871287,0.84063,0.10034016,0.0,0.0,0,3.697819567326972
