worker_id,city_risk_index,rainfall_last_3day_avg,flood_zone_flag,traffic_peak_index,pollution_spike_flag,parcel_demand_index,historical_income_variance,active_hours_ratio,gps_jump_distance,claim_frequency_7day,nearby_claim_cluster_score,income_loss_hours
WRK-00001,0.6529,110.16,0,1.0,0,0.7541,0.5509,0.9291,0.15,3.0,0.1809,11.35
WRK-00002,0.3952,55.39,0,0.7026,1,0.713,1.0,0.7925,3.46,1.0,0.3568,2.15
WRK-00003,0.3552,62.32,0,0.6766,1,0.5522,0.2589,0.197,23.38,8.6,0.9616,16.62
WRK-00004,0.7089,66.57,0,0.7938,0,0.5955,0.1463,0.813,3.15,0.0,0.1287,2.1
WRK-00005,0.7871,113.46,1,0.9374,0,0.0877,1.0,0.8223,0.05,6.0,0.4033,21.21
WRK-00006,0.5342,86.41,0,0.852,0,0.0809,1.0,0.8622,1.69,2.0,0.3999,11.59
WRK-00007,0.7565,89.04,1,1.0,1,0.5955,0.1925,0.5728,0.91,2.0,0.0201,17.54
WRK-00008,0.2935,58.12,0,0.7429,0,0.4538,1.0,0.7543,0.2,0.0,0.1543,3.21
WRK-00009,0.4438,36.05,0,0.6494,0,0.3331,0.8233,0.8929,5.54,0.0,0.1203,0.61
WRK-00010,0.7627,81.45,0,1.0,1,0.2586,1.0,0.0985,74.83,7.4,0.6147,27.38
WRK-00011,0.5424,107.12,1,0.9342,0,0.6678,0.1915,0.3495,5.57,5.0,0.2677,21.58
WRK-00012,0.362,6.32,0,0.4654,1,0.59,0.2327,0.7823,0.4,1.0,0.059,0.0
WRK-00013,0.4243,53.34,0,0.6584,1,0.8521,0.6036,0.6602,0.77,0.0,0.1348,3.11
WRK-00014,0.359,54.64,0,0.8394,0,0.3656,0.7539,0.8448,0.77,0.0,0.2592,7.21
WRK-00015,0.3181,20.93,0,0.6531,0,0.5739,0.5155,0.5191,1.73,1.0,0.2213,1.24
WRK-00016,0.4425,48.35,0,0.7318,0,0.8857,0.7302,0.8264,0.85,1.0,0.0848,3.0
WRK-00017,0.6903,80.34,0,0.8838,0,0.1087,1.0,0.7344,5.73,0.0,0.285,8.43
WRK-00018,0.6349,13.21,0,0.8523,0,0.4268,0.6176,0.7004,1.2,0.0,0.0052,8.04
WRK-00019,0.4986,60.9,0,0.9263,1,0.4197,0.6994,0.749,0.6,0.0,0.1359,5.56
WRK-00020,0.6859,117.66,1,1.0,0,0.6551,0.621,0.535,1.03,5.0,0.5718,13.99
WRK-00021,0.5903,74.75,0,0.7964,0,0.7878,0.4826,0.9128,0.04,1.0,0.1872,2.75
WRK-00022,0.3943,47.45,0,0.9361,0,0.7701,0.3469,0.8204,0.08,0.0,0.135,6.34
WRK-00023,0.5091,22.71,0,0.8629,0,0.4748,0.5617,0.6451,3.78,0.0,0.3779,4.12
WRK-00024,0.4128,27.53,0,0.5472,1,0.655,0.2333,0.6014,6.78,1.0,0.2065,2.23
WRK-00025,0.4769,72.84,0,0.7498,0,0.6644,0.3354,0.2856,101.7,5.9,0.603,21.13
WRK-00026,0.232,64.93,0,0.6726,0,0.4818,0.493,0.6228,0.25,2.0,0.3292,0.0
WRK-00027,0.6171,76.41,1,0.8866,0,0.2242,1.0,0.763,2.31,3.0,0.0854,14.4
WRK-00028,0.5464,36.84,0,0.5878,1,0.4429,0.7275,0.7648,3.61,0.0,0.3687,2.57
WRK-00029,0.6563,121.14,1,1.0,1,0.05,1.0,0.1632,65.96,9.1,1.0,38.67
WRK-00030,0.5666,124.99,0,1.0,0,0.8636,0.6368,0.6175,2.36,2.0,0.2014,8.19
WRK-00031,0.8685,94.61,0,0.8979,0,0.895,0.6444,0.8092,5.08,3.0,0.079,9.48
WRK-00032,0.5477,45.98,0,0.8045,0,0.8627,0.5389,0.895,1.4,0.0,0.0892,6.46
